lon,lat,Swnet_tavg,Lwnet_tavg,Qle_tavg,Qh_tavg,Evap_tavg,AvgSurfT_inst,RootMoist_inst,Tveg_tavg
75.34619445552487,19.426068019084653,214.10617065429688,-80.72270965576172,67.00665283203125,67.38621520996094,2.6791840355144814e-05,301.3213806152344,310.5456848144531,17.022844314575195
75.57077327655475,19.426068019084653,213.31248474121094,-79.98001861572266,66.79657745361328,67.58230590820312,2.6708034056355245e-05,301.3562927246094,298.861083984375,18.447296142578125
74.8970368134651,19.650646840114533,209.36688232421875,-77.61798095703125,72.9327392578125,59.73374938964844,2.916139055741951e-05,300.689697265625,300.8415832519531,21.64323616027832
75.12161563449499,19.650646840114533,213.20948791503906,-80.58219146728516,67.79197692871094,65.78352355957031,2.710618355195038e-05,301.0517883300781,300.5701599121094,18.899173736572266
75.34619445552487,19.650646840114533,212.55482482910156,-80.06443786621094,66.66963958740234,66.8258285522461,2.66570186795434e-05,300.8677062988281,298.9704895019531,19.116554260253906
75.57077327655475,19.650646840114533,211.50965881347656,-79.8988037109375,66.56028747558594,66.05719757080078,2.6613177396939136e-05,300.97381591796875,294.34088134765625,19.41819190979004
74.67245799243521,19.875225661144412,209.93499755859375,-78.6292495727539,71.1272201538086,61.03041076660156,2.8439775633160025e-05,300.6811218261719,328.0943298339844,16.621002197265625
74.8970368134651,19.875225661144412,209.35720825195312,-79.6141357421875,69.14187622070312,61.45944595336914,2.7645877707982436e-05,301.0177001953125,340.9615478515625,13.861790657043457
75.12161563449499,19.875225661144412,210.95187377929688,-79.24031066894531,67.91104888916016,64.75279998779297,2.71534918283578e-05,300.2735595703125,302.8115234375,19.63632583618164
75.34619445552487,19.875225661144412,210.37408447265625,-78.95986938476562,58.97080612182617,73.23164367675781,2.3578619220643304e-05,299.8678283691406,249.14633178710938,19.39882469177246
75.57077327655475,19.875225661144412,209.97972106933594,-78.25884246826172,69.0680160522461,63.69081497192383,2.7616237275651656e-05,299.94219970703125,284.7049865722656,23.092416763305664
74.67245799243521,20.099804482174292,206.5342559814453,-78.08589935302734,62.636966705322266,66.51715850830078,2.5044930225703865e-05,300.5647277832031,314.7220153808594,12.132308959960938
74.8970368134651,20.099804482174292,206.30775451660156,-77.24249267578125,67.1907730102539,62.637420654296875,2.6865536710829474e-05,300.57806396484375,340.2862854003906,14.476936340332031
